hgnc_symbol	entrezgene_id	ensembl_gene_id	DE_Prior_Rank	N	g2p_rank	gini	gini_norm	gini_norm_rank
A1BG	1	ENSG00000121410	0.429454412685166	36	0.4329329329329329	0.972780575758019	0.999802258417964	0.9844851078546484
A2M	2	ENSG00000175899	0.95389109117463	293	0.9453732082598062	0.5315905866924624	0.5463569918783641	0.5744824695921148
NAT1	9	ENSG00000171428	0.808105570623826	253	0.9329329329329329	0.5413969955665927	0.556435800998998	0.5882095346426649
NAT2	10	ENSG00000156006	0.673847277279366	732	0.9847013211833228	0.928953224675617	0.9547574809166064	0.9168254299918737
SERPINA3	12	ENSG00000196136	0.992228249530565	219	0.9169169169169169	0.8118875275501116	0.834439958870948	0.8400138572105317
AADAC	13	ENSG00000114771	0.883371583559357	32	0.38888888888888884	0.911931287075284	0.937262711716264	0.9045382333150599
AAMP	14	ENSG00000127837	0.008632380554976	64	0.6401401401401401	0.2212051768606888	0.2273497651068191	0.02724450314592075
AANAT	15	ENSG00000129673	0.0097016482370123	45	0.512012012012012	0.7212113800254095	0.7412450294705597	0.7723141596310513
AARS1	16	ENSG00000090861	0.36897558940121	108	0.7927927927927928	0.3252785691149708	0.3343140849237199	0.1473796831967493
ABAT	18	ENSG00000183044	0.911798456081786	51	0.5585585585585586	0.6370998274231892	0.654797044851611	0.6969306151957063
ABCA1	19	ENSG00000165029	0.912372209472147	822	0.9877155184997051	0.4491575795224944	0.4616341789536748	0.4329726078468512
ABCA2	20	ENSG00000107331	0.385562278322554	58	0.6056056056056056	0.6981854060198914	0.7175794450759995	0.7515308521333507
ABCA3	21	ENSG00000167972	0.619653661589818	108	0.7927927927927928	0.545501497016267	0.5606543163778299	0.5946343552731539
ABCB7	22	ENSG00000131269	0.0226632589192572	89	0.7437437437437437	0.3583104005441594	0.3682634672259416	0.20960360982494705
ABCF1	23	ENSG00000204574	0.0692937617358648	135	0.8398398398398398	0.3322958467989197	0.3415262869877785	0.1597764955954825
ABCA4	24	ENSG00000198691	0.570467348216149	303	0.947670797833664	0.9619113186022292	0.9886310774522912	0.9530041398109489
ABL1	25	ENSG00000097007	0.279157104110161	886	0.9896664664664666	0.4259435332577187	0.4377752980704331	0.38033353299879546
AOC1	26	ENSG00000002726	0.865506989359483	55	0.585085085085085	0.9197312527816094	0.945279343136654	0.9104339986847174
ABL2	27	ENSG00000143322	0.606978927602754	121	0.8182083182083177	0.3699632119146492	0.3802399678011672	0.23908127862230777
ABO	28	ENSG00000175164	0.317494262466096	308	0.9491491491491492	0.6811988414050215	0.7001210314440498	0.7371902760196672
ABR	29	ENSG00000159842	0.572397245983726	47	0.5295295295295295	0.4022296767227862	0.4134027232984191	0.3213358748765919
ACAA1	30	ENSG00000060971	0.386083872313791	61	0.6231231231231231	0.4203851571862718	0.4320625226636682	0.36640748930327355
